Dye_Name,Concentration,R_400,R_410,R_420,R_430,R_440,R_450,R_460,R_470,R_480,R_490,R_500,R_510,R_520,R_530,R_540,R_550,R_560,R_570,R_580,R_590,R_600,R_610,R_620,R_630,R_640,R_650,R_660,R_670,R_680,R_690,R_700
Suncron Black ECO-LS liq._I,2.0,14.162999,12.03925,10.444,9.16475,8.299251,7.75425,7.537749,7.50425,7.63675,7.832,8.2185,8.6565,8.9595,9.007251,8.844,8.237,7.51175,6.81175,6.364,6.19175,6.19075,6.33475,6.67175,7.18825,8.171251,9.798,12.538999,15.874,23.292249,29.043999,37.830248
Suncron Black ECO-LS liq._I,4.0,8.49275,6.92575,5.85925,5.05425,4.563,4.24475,4.08725,4.05075,4.115,4.23,4.40975,4.629,4.776,4.798751,4.68375,4.345,3.97075,3.586,3.3775,3.28,3.2835,3.3605,3.537,3.85325,4.33125,5.27325,6.999251,9.22775,15.03025,20.275502,28.392249
Suncron Black ECO-LS liq._I,6.0,6.03075,4.8605,4.134749,3.595,3.284,3.08525,2.983,2.95275,2.98575,3.04975,3.14225,3.26675,3.34975,3.35575,3.27375,3.0835,2.858,2.6205,2.49775,2.4555,2.465,2.5075,2.6165,2.77725,3.09775,3.66925,4.806,6.3495,10.9,15.63475,23.0735
Suncron Black ECO-LS liq._I,8.0,4.7115,3.80475,3.29525,2.92175,2.71275,2.57225,2.4965,2.4685,2.48475,2.52225,2.56475,2.63375,2.68675,2.687,2.63325,2.522,2.37275,2.2245,2.14775,2.1285,2.13775,2.1665,2.23825,2.3535,2.5395,2.918,3.65725,4.76175,8.340999,12.553501,19.335251
Suncron Black ECO-LS liq._I,10.0,3.96475,3.232,2.8765,2.60625,2.45,2.346,2.29225,2.26625,2.2745,2.3,2.31975,2.35475,2.387,2.3885,2.3535,2.28375,2.17575,2.0695,2.01325,2.00675,2.01825,2.0375,2.08825,2.1655,2.3015,2.6035,3.07725,3.858,6.76325,10.56475,16.800252
Suncron Black ECO-LS liq._I,12.0,3.3125,2.77925,2.5495,2.32975,2.2165,2.141,2.09625,2.07075,2.0765,2.09625,2.10125,2.12025,2.1385,2.13625,2.11,2.073,1.98975,1.91475,1.876,1.88375,1.89675,1.91125,1.94875,2.0075,2.09525,2.27925,2.638,3.148,5.4435,8.732,14.32725
Suncron Black ECO-LS liq._I,14.0,3.086,2.63,2.4605,2.2765,2.18625,2.12725,2.091,2.065,2.066,2.075,2.0695,2.0775,2.0885,2.08575,2.0685,2.0525,1.98725,1.92575,1.894,1.903,1.91925,1.93525,1.966,2.007,2.075,2.22775,2.5225,2.8475,4.79225,7.8075,13.04425
Suncron Black ECO-LS liq._I,16.0,2.7885,2.416,2.30575,2.15775,2.0825,2.03525,2.006,1.981,1.97825,1.98575,1.97425,1.97475,1.98125,1.9785,1.96925,1.9615,1.9075,1.85875,1.83375,1.84275,1.85975,1.87775,1.91075,1.94425,1.99225,2.0975,2.31175,2.54425,4.113,6.76025,11.50975
Suncron Black ECO-LS liq._I,18.0,2.675,2.3675,2.25175,2.12475,2.061,2.02,1.9955,1.973,1.96775,1.9715,1.95825,1.95625,1.96175,1.96025,1.95,1.947,1.897,1.8545,1.834,1.85225,1.875,1.88775,1.91375,1.9465,1.989,2.0785,2.22575,2.489,3.6495,6.11325,10.510001
Suncron Black ECO-LS liq._I,20.0,2.528,2.302,2.18325,2.07675,2.02775,1.99875,1.97625,1.95475,1.947,1.949,1.93075,1.9255,1.92725,1.9265,1.91925,1.9245,1.87875,1.84075,1.82225,1.837,1.85575,1.877,1.9085,1.93525,1.96625,2.0315,2.14025,2.35325,3.3095,5.5385,9.61375
Suncron Black ECO-RD liq._I,2.0,12.915,10.907499,9.396,8.216,7.414,6.91275,6.71925,6.6885,6.80425,6.975999,7.31375,7.701,7.9395,8.000751,7.783,7.29,6.64125,6.022,5.64825,5.5245,5.55825,5.72025,6.079001,6.608,7.6155,9.25775,12.005,15.321499,22.70575,28.463501,37.255502
Suncron Black ECO-RD liq._I,4.0,7.583,6.12225,5.1865,4.46425,4.0555,3.7785,3.649,3.616,3.66925,3.7655,3.9155,4.09825,4.22575,4.25075,4.14425,3.87025,3.56075,3.234,3.06025,2.9905,3.00625,3.0845,3.2615,3.57725,4.0495,4.96275,6.6455,8.815,14.499751,19.738001,27.821499
Suncron Black ECO-RD liq._I,6.0,5.3245,4.28175,3.67275,3.21575,2.961,2.80125,2.7125,2.6815,2.70125,2.752,2.8245,2.91825,2.98625,3.001,2.941,2.7945,2.6115,2.42475,2.32425,2.2965,2.312,2.35475,2.46025,2.621,2.91425,3.426,4.49575,5.96225,10.33125,14.973749,22.304001
Suncron Black ECO-RD liq._I,8.0,4.1205,3.3795,2.97675,2.676,2.5045,2.38525,2.32325,2.29675,2.30675,2.33575,2.36825,2.41775,2.45575,2.45875,2.4205,2.3415,2.22325,2.10525,2.0445,2.04,2.05525,2.08025,2.14325,2.24625,2.41625,2.76675,3.45725,4.47775,7.85575,11.968251,18.596499
Suncron Black ECO-RD liq._I,10.0,3.51125,2.8925,2.64025,2.3925,2.2765,2.19875,2.15375,2.1285,2.13425,2.158,2.16625,2.18625,2.20625,2.21125,2.1885,2.147,2.06125,1.97875,1.937,1.93925,1.95225,1.97175,2.023,2.09275,2.2095,2.4515,2.89525,3.59225,6.31275,9.931751,15.958001
Suncron Black ECO-RD liq._I,12.0,3.09575,2.61,2.43325,2.2445,2.15075,2.0885,2.05425,2.03175,2.0345,2.046,2.04425,2.05425,2.064,2.06175,2.048,2.031,1.96425,1.9025,1.87125,1.878,1.89375,1.913,1.95525,2.007,2.08925,2.2685,2.595,3.04875,5.28675,8.48575,14.01725
Suncron Black ECO-RD liq._I,14.0,2.7815,2.4325,2.29475,2.15025,2.081,2.0365,2.0095,1.98725,1.9865,1.99275,1.9825,1.983,1.99275,1.9905,1.9795,1.97375,1.91525,1.864,1.84025,1.85875,1.87975,1.89525,1.92575,1.96425,2.02025,2.15475,2.4315,2.68675,4.49925,7.329,12.356251
Suncron Black ECO-RD liq._I,16.0,2.58725,2.30925,2.1965,2.0755,2.02025,1.98425,1.96175,1.94075,1.93925,1.94475,1.9305,1.9265,1.931,1.929,1.91875,1.92125,1.8725,1.83075,1.813,1.83125,1.85325,1.8695,1.90125,1.9315,1.974,2.07525,2.22275,2.4695,3.8955,6.428,11.01575
Suncron Black ECO-RD liq._I,18.0,2.48125,2.23725,2.14075,2.041,1.99425,1.96275,1.93825,1.914,1.91075,1.915,1.9005,1.89625,1.89725,1.8935,1.8865,1.8945,1.854,1.815,1.79825,1.81475,1.83525,1.85075,1.87825,1.90425,1.94125,2.01875,2.14125,2.374,3.4175,5.7185,9.88525
Suncron Black ECO-RD liq._I,20.0,2.3885,2.19125,2.10225,2.01125,1.9695,1.943,1.92725,1.909,1.90525,1.90275,1.8855,1.88025,1.88175,1.879,1.87475,1.8845,1.84425,1.81225,1.7985,1.81575,1.8345,1.85,1.88025,1.904,1.9375,1.99975,2.10075,2.29575,3.15825,5.27775,9.18025
Suncron Black KSL_I,1.0,15.830776,13.623996,12.413447,11.429348,10.714206,10.373702,10.202029,10.173979,10.233745,10.311627,10.392214,10.379767,10.272107,9.929721,9.449301,8.879177,8.254882,7.566518,6.980737,6.657097,6.463492,6.326528,6.325042,6.484167,7.104175,8.468565,11.093538,15.247644,22.57556,28.340536,37.463234
Suncron Black KSL_I,2.0,10.06978,8.204937,7.265119,6.589269,6.088832,5.836812,5.711526,5.67902,5.717169,5.76029,5.785026,5.768821,5.661779,5.442722,5.129218,4.7881,4.42617,4.012826,3.725565,3.533796,3.43629,3.365002,3.377627,3.486642,3.872241,4.522833,6.119167,8.931212,14.568672,19.804876,28.187286
Suncron Black KSL_I,3.0,7.396141,5.775188,5.088886,4.593303,4.245642,4.076552,3.961852,3.9195,3.941976,3.964374,3.965437,3.952419,3.873558,3.718653,3.527783,3.319347,3.086737,2.838168,2.666486,2.563259,2.517485,2.480847,2.495428,2.55856,2.766393,3.188505,4.157925,6.127059,10.447491,15.107888,22.758951
Suncron Black KSL_I,4.0,5.590146,4.246417,3.696828,3.424223,3.169229,3.048097,2.962147,2.92274,2.932666,2.942819,2.92907,2.917876,2.85498,2.757154,2.650046,2.530511,2.386053,2.241773,2.148676,2.102494,2.082608,2.065475,2.083448,2.116808,2.235252,2.525268,3.039457,4.314082,7.453638,11.445862,18.235804
Suncron Black KSL_I,5.0,4.841307,3.521982,3.162105,2.925105,2.703766,2.620245,2.556229,2.517007,2.526786,2.528493,2.508414,2.501502,2.449707,2.381144,2.31232,2.227655,2.119929,2.019888,1.959257,1.937033,1.928125,1.916132,1.934811,1.963057,2.047567,2.210622,2.611867,3.482912,5.953919,9.472262,15.631776
Suncron Black KSL_I,6.0,4.248859,3.133384,2.792753,2.601387,2.431195,2.365397,2.308503,2.271708,2.27684,2.269538,2.239494,2.232526,2.191737,2.143281,2.102246,2.047803,1.968865,1.89673,1.855342,1.849629,1.850504,1.84298,1.862139,1.883775,1.938654,2.06242,2.324276,2.957576,4.87917,7.93227,13.445488
Suncron Black KSL_I,7.0,3.959136,2.776682,2.595649,2.412266,2.285448,2.233087,2.17429,2.128277,2.126164,2.115607,2.088673,2.086093,2.054328,2.015686,1.995875,1.958901,1.883535,1.821159,1.787869,1.797873,1.802334,1.803534,1.83178,1.85402,1.891855,1.980307,2.231636,2.662373,4.206144,6.974955,12.109821
Suncron Black KSL_I,8.0,3.707976,2.689562,2.440261,2.302203,2.189434,2.140723,2.082784,2.037173,2.035454,2.026321,1.993801,1.99036,1.963514,1.936324,1.926506,1.899525,1.83746,1.783638,1.755844,1.769584,1.780336,1.784296,1.810765,1.831485,1.858433,1.931408,2.079451,2.441015,3.717879,6.200864,10.934964
Suncron Black KSL_I,9.0,3.472926,2.496836,2.302137,2.195177,2.100223,2.061698,2.009126,1.95937,1.954266,1.939536,1.908442,1.910164,1.88374,1.853697,1.851105,1.835369,1.784839,1.739569,1.712723,1.726393,1.73634,1.740505,1.771016,1.789958,1.815897,1.8744,1.991836,2.267525,3.322846,5.523883,9.836979
Suncron Black KSL_I,10.0,3.475831,2.395534,2.273447,2.152164,2.050326,2.013881,1.963875,1.914445,1.907909,1.896019,1.865888,1.865555,1.839086,1.817282,1.818431,1.801907,1.752108,1.712877,1.692045,1.710228,1.72572,1.72633,1.752533,1.769954,1.793616,1.84653,1.966514,2.245744,3.010885,5.04621,9.06169
Suncron Black S-FWH_I,1.0,12.59,10.74675,9.575751,8.89625,8.9265,9.28275,10.278749,11.70325,13.404,13.376001,12.6775,11.278751,9.987,8.849999,7.94525,7.241751,6.701,6.30425,6.11325,6.0605,6.1565,6.33775,6.75775,7.568499,9.2225,12.09175,16.67725,22.04825,32.113999,38.5425,48.201999
Suncron Black S-FWH_I,2.0,7.106499,5.8415,5.117251,4.7295,4.73,4.9535,5.576,6.442,7.58725,7.56775,7.06725,6.1155,5.3005,4.63,4.1235,3.77225,3.502,3.2725,3.175,3.168,3.2275,3.32325,3.534,3.97825,4.8765,6.653,9.8745,13.944751,22.7395,29.045752,38.43075
Suncron Black S-FWH_I,3.0,4.9865,4.05375,3.599,3.366,3.33325,3.4835,3.91975,4.45925,5.279,5.269,4.898,4.21675,3.669,3.24175,2.96625,2.74025,2.5735,2.43775,2.37575,2.38475,2.42475,2.47825,2.603,2.89625,3.39525,4.55775,6.88675,9.99525,17.602001,23.613501,32.601249
Suncron Black S-FWH_I,4.0,3.89925,3.17775,2.91675,2.73625,2.715,2.81175,3.06225,3.45575,4.0395,4.039,3.7645,3.25375,2.8995,2.59775,2.43275,2.30475,2.1965,2.11,2.069,2.0825,2.11675,2.151,2.23025,2.3845,2.74925,3.4975,5.2295,7.62825,14.226499,19.922501,28.529
Suncron Black S-FWH_I,5.0,3.2515,2.70775,2.55025,2.4045,2.38575,2.45075,2.64225,2.89775,3.222,3.30475,3.07375,2.72025,2.48025,2.2695,2.161,2.0915,2.013,1.952,1.9225,1.944,1.974,1.99575,2.049,2.1725,2.42525,2.9145,4.19125,6.07175,11.758499,17.16425,25.392753
Suncron Black S-FWH_I,6.0,3.0285,2.565,2.44625,2.31875,2.3015,2.35725,2.51675,2.736,3.01675,3.0865,2.8805,2.5675,2.362,2.18025,2.09075,2.0405,1.97325,1.9185,1.8945,1.91825,1.947,1.9655,2.00825,2.11,2.3115,2.76275,3.856,5.52025,10.84775,16.09025,24.112247
Suncron Black S-FWH_I,7.0,3.58225,3.09775,2.84325,2.56075,2.39875,2.288,2.228,2.20175,2.22,2.2445,2.2335,2.2265,2.22975,2.2195,2.18925,2.13925,2.05025,1.9725,1.9315,1.93925,1.95,1.958,1.9825,2.04225,2.1385,2.32075,2.57175,2.9435,3.44525,3.8325,4.57825
Suncron Black S-FWH_I,8.0,2.5225,2.29425,2.18675,2.10975,2.10075,2.12825,2.21925,2.3405,2.52,2.567,2.425,2.2235,2.09575,1.991,1.942,1.92525,1.875,1.835,1.813,1.83575,1.85975,1.87625,1.90775,1.971,2.093,2.43925,3.07575,4.2275,8.51275,13.312751,20.771751
